"Rank,",College/University,",",Average Early Career Pay,",",Average Student Loan Debt,",",College Risk Reward Indicator
"173,",Wentworth Institute of Technology,",","$55,500 ",",","$27,724 ",",2.00",
"174,",University of Washington – Tacoma Campus,",","$46,800 ",",","$23,396 ",",2.00",
"175,",University of Bridgeport (UB),",","$42,400 ",",","$21,200 ",",2.00",
"176,",California State University – Chico,",","$47,600 ",",","$23,820 ",",2.00",
"177,",Stony Brook University,",","$49,700 ",",","$24,884 ",",2.00",
"178,",University of Colorado – Boulder (CU),",","$50,000 ",",","$25,126 ",",1.99",
"179,",Ohio Northern University (ONU),",","$46,100 ",",","$23,276 ",",1.98",
"180,","Herzing University – Madison, WI",",","$49,300 ",",","$24,920 ",",1.98",
"181,",Park University,",","$43,700 ",",","$22,115 ",",1.98",
"182,",Molloy College,",","$54,900 ",",","$27,816 ",",1.97",
"183,",Oregon Institute of Technology (OIT),",","$58,500 ",",","$29,685 ",",1.97",
"184,",CUNY – College of Staten Island,",","$47,100 ",",","$23,908 ",",1.97",
"185,",Art Center College of Design,",","$57,800 ",",","$29,452 ",",1.96",
"186,",Purdue University – Main Campus,",","$55,500 ",",","$28,343 ",",1.96",
"187,",University of Arkansas – Main Campus,",","$47,200 ",",","$24,120 ",",1.96",
"188,","American InterContinental University (AIU) – Atlanta, GA",",","$43,500 ",",","$22,232 ",",1.96",
"189,",Virginia Polytechnic Institute and State University (Virginia Tech),",","$54,500 ",",","$27,865 ",",1.96",
"190,",Weber State University,",","$51,100 ",",","$26,148 ",",1.95",
"191,",North Dakota State University (NDSU),",","$49,400 ",",","$25,380 ",",1.95",
"192,",Fairfield University,",","$54,300 ",",","$27,918 ",",1.94",
"193,",University of Alaska – Anchorage Campus,",","$51,600 ",",","$26,569 ",",1.94",
"194,",University of Tulsa,",","$56,400 ",",","$29,161 ",",1.93",
"195,",University of Akron – Main Campus,",","$44,700 ",",","$23,124 ",",1.93",
"196,",Merrimack College,",","$52,400 ",",","$27,124 ",",1.93",
"197,",Colorado State University (CSU),",","$45,800 ",",","$23,721 ",",1.93",
"198,",South Dakota State University (SDSU),",","$44,700 ",",","$23,183 ",",1.93",
"199,",California State Polytechnic University – Pomona,",","$49,700 ",",","$25,780 ",",1.93",
"200,","Embry-Riddle Aeronautical University (ERAU) – Prescott, AZ",",","$55,800 ",",","$28,952 ",",1.93",
"201,",City University of Seattle,",","$48,200 ",",","$25,100 ",",1.92",
"202,",Drexel University,",","$55,900 ",",","$29,120 ",",1.92",
"203,",University of Texas (UT) – Austin,",","$52,200 ",",","$27,207 ",",1.92",
"204,","Wayne State University – Detroit, MI",",","$45,600 ",",","$23,785 ",",1.92",
"205,","University of Maryland, Baltimore County (UMBC)",",","$49,700 ",",","$25,925 ",",1.92",
"206,",Bentley University,",","$58,600 ",",","$30,602 ",",1.91",
"207,",University of Tennessee at Chattanooga (UTC),",","$41,000 ",",","$21,420 ",",1.91",
"208,",SUNY – Binghamton University,",","$49,100 ",",","$25,727 ",",1.91",
"209,","Dominican College – Orangeburg, NY",",","$43,200 ",",","$22,640 ",",1.91",
"210,",North Carolina A&T State University,",","$50,100 ",",","$26,265 ",",1.91",
"211,",University of Nebraska – Lincoln,",","$44,500 ",",","$23,395 ",",1.90",
"212,",American University – Washington D.C.,",","$45,000 ",",","$23,680 ",",1.90",
"213,",Rose-Hulman Institute of Technology (RHIT),",","$67,200 ",",","$35,420 ",",1.90",
"214,",Lehigh University,",","$60,400 ",",","$31,877 ",",1.89",
"215,",University of Portland,",","$50,200 ",",","$26,557 ",",1.89",
